depth_cm,salinity_ppt
0,6.8
10,6.2
20,6.9
30,7.4
40,6.9
50,5.3
60,5.5
70,5.3
80,4.7
90,4.9
100,4.9
110,5.6
120,5.6
130,5.5
140,5.3
150,4.8
160,4.7
170,4.7
180,4.1
190,4.6
200,4.8
210,4.9
220,4.6
230,4.9
240,6.8
