depth_cm,degree_c
10,-10.3
20,-9.7
30,-9.4
40,-9.1
50,-8.8
60,-8.6
70,-8
80,0
90,-7.5
100,-7.5
110,0
120,-5.2
130,-5
140,-4.6
150,-4.3
160,-3.9
170,0
180,-3.3
190,-2.7
200,-2.2
